Serial Number,Model,Location,Postal Code,Lift Lobby,Adult Pads Expiry Date,Adult Pads Lot Number,Pediatric Pads Expiry Date,Pediatric Pads Lot Number,Battery Replacement History,Battery Expiry Date,PM Completed Date,Next PM Date,Job Type,Last Done By,Service Report e-SR,Remarks,Latitude,Longitude,OneMap Address,Geocoding Status,PM Interval Months
X16B816938,ZOLL AED Plus,Blk 122 Bukit Merah Lane 1,150122,Lift Lobby B,06-04-2029,0124A,08-11-2027,4525A,21-01-2023,01-03-2026,04-07-2025,05-09-2026,PM,Russell,e-SR15803,"PM Completed on 4 July 2025, e-SR15803 /",1.2864588189976,103.804200246716,122 BUKIT MERAH LANE 1 SINGAPORE 150122,Success,12
X17G941204,ZOLL AED Plus,Blk 124 Bukit Merah Lane 1,150124,Lift Lobby A,11-09-2027,2422,11-10-2027,4125,21-08-2023,01-03-2026,04-07-2025,12-09-2026,PM,Russell,e-SR15803,"PM Completed on 4 July 2025, e-SR15803 /",1.28582331821306,103.803532208512,124 BUKIT MERAH LANE 1 SINGAPORE 150124,Success,12
X18K075125,ZOLL AED Plus,Blk 128 Bukit Merah View,150128,Level 1 Lift Lobby D,16-02-1930,4624A,04-10-2027,4025A,,01-03-2026,22-07-2026,20-09-2026,PM,Zihan,5928,"PM done on 22 July 2026,5928.PM Completed on 3 July 2025, e-SR15791 / PM done on 16 Jan 2025, e-SR15564. PM done on 9 Jan 2024, service report e-SR13148 PM done on 11 July 2023, service report e-SR12359",1.28264675199072,103.823327111496,128 BUKIT MERAH VIEW BUKIT MERAH VIEW SINGAPORE 150128,Success,12
X18K075198,ZOLL AED Plus,Blk 130 Bukit Merah View,150130,Level 1 Lift Lobby D,18-02-2029,4623E,04-10-2027,4025A,,01-03-2026,22-07-2026,03-10-2026,PM+glass,Zihan,5932,"PM+glass done on 22 July 2026,5932.PM Completed on 3 July 2025, e-SR15791 / PM done on 16 Jan 2025, e-SR15564. PM + CPR done on 9 Jan 2024, service report e-SR13146  PM done on 11 July 2023, service report e-SR12359",1.28458712798457,103.824360319186,130 BUKIT MERAH VIEW BUKIT MERAH VIEW SINGAPORE 150130,Success,12
X16A810545,ZOLL AED Plus,Blk 161 Bukit Merah Central,150161,Lift Lobby A,17-08-1930,2025B,17-01-2028,326,21-09-2023,01-03-2026,21-07-2026,15-10-2026,PM,Zihan,5900,"PM done on 21 July 2026,5900.PM Completed on 3 July 2025, e-SR15791 / PM Done (e-SR15543) on 16 Jan 2025, PM done on 5 Jan 2024, service report e-SR13151 PM done on 11 July 2023, service report e-SR12359",1.28391229397444,103.816006111441,161 BUKIT MERAH CENTRAL SINGAPORE 150161,Success,12
X16B817028,ZOLL AED Plus,Blk 165 Bukit Merah Central,150165,Lift Lobby C,16-11-1930,3325B,17-01-2028,326,"9/21/2023,20/7/2026",01-03-1935,20-07-2026,27-10-2026,PM+batt,Zihan,5899,"PM +batt  done on 20 July 2026,5899.PM Completed on 3 July 2025, e-SR15791 / PM Done (e-SR15543) on 16 Jan 2025, PM done on 5 Jan 2024, service report e-SR13151 PM done on 11 July 2023, service report e-SR12359",1.28305589307332,103.816692798132,165 BUKIT MERAH CENTRAL SINGAPORE 150165,Success,12
X17H943111,ZOLL AED Plus,Blk 39 Jalan Rumah Tinggi,151039,Lift Lobby A,04-09-2027,2322A,17-01-2028,326,,01-03-2026,20-07-2026,06-11-2026,PM,Zihan,5898,"PM done on 20 July 2026,5898.PM Completed on 4 July 2025, e-SR15798 / PM Done (e-SR15543) on 16 Jan 2025, PM done on 3 Jan 2024, service report e-SR13154 PM done on 12 July 2023, service report e-SR12364",1.2886333428931,103.810015901011,39 JALAN RUMAH TINGGI RUMAH TINGGI VIEW SINGAPORE 151039,Success,12
X17H942430,ZOLL AED Plus,Blk 47 Lengkok Bahru,151047,Lift Lobby B,04-09-2027,2322A,14-02-2028,726,21-09-2023,01-03-2026,20-07-2026,18-11-2026,PM,Zihan,5886,"PM done on 20 July 2026,5886.PM Completed on 4 July 2025, e-SR15798 / PM Done (e-SR15543) on 16 Jan 2025, PM done on 5 Jan 2024, service report e-SR13149 PM done on 10 July 2023, service report e-SR12357",1.28715147473337,103.811832692492,47 LENGKOK BAHRU SINGAPORE 151047,Success,12
X17H943140,ZOLL AED Plus,Blk 55 Lengkok Bahru,151055,Lift Lobby C,04-09-2027,2322A,14-02-2028,726,21-09-2023,01-03-2026,20-07-2026,29-11-2026,PM,Zihan,5883,"PM done on 20 July 2026,5883.PM Completed on 4 July 2025, e-SR15796 / PM done on 16 Jan 2025, e-SR15566. PM done on 5 Jan 2024, service report e-SR13149  PM done on 10 July 2023, service report e-SR12357",1.28744981772847,103.81344506122,55 LENGKOK BAHRU SINGAPORE 151055,Success,12
